Timestamp,What is your primary job role/category?,"If comfortable, please specify your exact job title (Optional):",What industry/sector do you work in?,Company size (number of employees),How many years of work experience do you have?,Work arrangement,What type of computer do you primarily use for work?,RAM (Memory) capacity,Processor (CPU) brand,Processor performance tier (if known),"Specific processor model (Optional - Example: Intel Core i7-13700K, AMD Ryzen 7 5800X, Apple M2):",Number of CPU cores,Processor base speed (GHz),Primary storage type,Total storage capacity,Graphics card (GPU) type,"If you have a dedicated graphics card, specify the model (Optional - Example: NVIDIA RTX 4060, AMD Radeon RX 7600):",Graphics card memory (VRAM),Operating system,Screen size (for laptops/all-in-ones),Do you use multiple monitors?,What software/applications do you use regularly?,What is the typical size of files you work with?,What is your budget for a PC?,Primary work activities,How many hours per day do you use your PC for work?,Do you run multiple applications simultaneously?,Rate the intensity of your typical workload:,Is your current PC sufficient for your work requirements?,What performance issues do you experience?,How often does your PC slow down or struggle during work?,Do you experience power interruptions at your location?,Do you use a UPS or generator?,What type of internet connection do you use for work?,"If you could upgrade your PC, what would you prioritize?",When was your current PC purchased or assigned to you?,PC form factor preference?,Portability requirement?,"Any additional comments about your PC specifications, work requirements, or suggestions for the PC recommendation system?"
2026/02/20 2:20:22 PM GMT+5:30,Customer Service/Support,Call Center Agent,Retail/E-commerce,201-500 (Large organization),10+ years,Remote/Work from home,Standard Laptop,4 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Celeron G6900,4 cores,1.1 GHz,HDD (Hard Disk Drive),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11,14 inches,Single monitor/screen only,"Zendesk, Freshdesk, MS Office, Email, CRM tools",Small (Under 10 MB),"Under LKR 100,000","Customer communication, ticket handling, CRM management",6-8 hours,Moderately (3-5 applications at a time),"1 - Very light (email, web browsing)",No (insufficient for my needs),Battery drain (for laptops),Occasionally (2-3 times per week),Frequently (3-4 hours/week),Not needed,"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster storage (SSD upgrade),1-2 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 2:27:22 PM GMT+5:30,Marketing/Digital Marketing Specialist,Digital Marketing Specialist,Retail/E-commerce,11-50 (Small to medium),7-10 years,Remote/Work from home,MacBook or Mac desktop,8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-13400,6 cores,3.6 GHz,SATA SSD (Slower SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,macOS,13 inches,Triple monitors,"Google Analytics, Canva, Hootsuite, SEMrush, Mailchimp",Small (Under 10 MB),"LKR 200,000 - 250,000","Email marketing, ad campaigns, performance reporting",8-10 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),Overheating,Occasionally (2-3 times per week),Rarely (1-2 hours/month),Not needed,Mobile broadband (4G/5G dongle),Larger battery (for laptops);Larger or faster storage (SSD upgrade),2-3 years ago,MacBook or Mac desktop,Must be portable (travel frequently for work),
2026/02/20 2:34:22 PM GMT+5:30,Network Administrator,Infrastructure Engineer,Information Technology (IT),1-10 (Small business/Startup),Less than 1 year,Remote/Work from home,Desktop PC (Standard),16 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 9 5950X,8 cores,3.5 GHz,SATA SSD (Slower SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel Iris Xe,Shared,Windows 11,22 inches (external monitor),Triple monitors,"Nagios, Zabbix, pfSense, PowerShell, Remote Desktop",Small (Under 10 MB),"LKR 250,000 - 300,000","Network monitoring, configuration, troubleshooting",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),Battery drain (for laptops),Occasionally (2-3 times per week),Frequently (3-4 hours/week),Yes (Generator),Fiber broadband (University network),Larger battery (for laptops);More RAM (memory);Faster storage (SSD upgrade),1-2 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 2:41:22 PM GMT+5:30,Cybersecurity Specialist,Security Analyst,Information Technology (IT),1-10 (Small business/Startup),2-3 years,Remote/Work from home,Gaming Laptop,32 GB,Intel,"High-end (i7, Ryzen 7, M2/M3)",Intel Core i7-12700K,12 cores,4.0 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"Entry-level dedicated GPU (GTX 1650, RX 6500 XT)",NVIDIA GTX 1660,4 GB,Windows 11,17 inches,Single monitor/screen only,"Kali Linux, Wireshark, Metasploit, Burp Suite, VMs",Medium (10 MB - 100 MB),"Above LKR 300,000","Penetration testing, vulnerability assessment, incident response",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs",System freezes/lag,Occasionally (2-3 times per week),Never,Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",Larger battery (for laptops);Larger or faster storage (SSD upgrade),2-3 years ago,Gaming Laptop,Preferred portable but not critical,
2026/02/20 2:48:22 PM GMT+5:30,IT Support/Helpdesk,Desktop Support Engineer,Information Technology (IT),51-200 (Medium-sized business),4-6 years,Remote/Work from home,Desktop PC (Standard),16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-11400H,6 cores,3.3 GHz,NVMe SSD (Faster PCIe SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,21 inches,Dual monitors,"ServiceNow, Zendesk, Active Directory, PowerShell",Small (Under 10 MB),"LKR 150,000 - 200,000","Hardware maintenance, software installation, user training",6-8 hours,Moderately (3-5 applications at a time),"2 - Light (document editing, web browsing)",No (insufficient for my needs),Overheating,Frequently (multiple times daily),Rarely (1-2 hours/month),Yes (Generator),"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster storage (SSD upgrade);Faster CPU/Processor,1-2 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 2:55:22 PM GMT+5:30,Database Administrator,SQL Developer,Information Technology (IT),1-10 (Small business/Startup),7-10 years,On-site (at campus/office),Desktop PC (Standard),32 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 7 6800H,12 cores,3.2 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel Iris Xe,Shared,Windows 11,24 inches (external monitor),Dual monitors,"SQL Server Management Studio, MySQL Workbench, Oracle SQL Developer",Large files (100 MB - 1 GB),"LKR 200,000 - 250,000","Database optimization, backup, query tuning",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs",No performance issues,Occasionally (2-3 times per week),Rarely (1-2 hours/month),Yes (UPS),Fiber broadband (University network),Faster CPU/Processor,Less than 1 year ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 3:02:22 PM GMT+5:30,Teacher/Educator,School Teacher,Education - University,501-1000 (Large organization),2-3 years,Remote/Work from home,Desktop PC (Standard),8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-12500,8 cores,2.5 GHz,HDD (Hard Disk Drive),500 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,21 inches,Triple monitors,"PowerPoint, Google Classroom, YouTube, Email",Small (Under 10 MB),"LKR 100,000 - 150,000","Content creation for courses, video calls, presentations",4-6 hours,Rarely (1-2 apps at a time),"2 - Light (document editing, web browsing)","Yes, fully meets my needs",System freezes/lag,Occasionally (2-3 times per week),Frequently (3-4 hours/week),Yes (UPS),ADSL broadband,Larger battery (for laptops),Less than 1 year ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 3:09:22 PM GMT+5:30,Medical/Healthcare Professional,Radiologist,Healthcare,201-500 (Large organization),7-10 years,Hybrid,Standard Laptop,8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-12500,10 cores,3.6 GHz,HDD (Hard Disk Drive),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,13 inches,Single monitor/screen only,"Epic, Cerner, Meditech, Google Workspace",Medium (10 MB - 100 MB),"LKR 100,000 - 150,000","Patient records management, medical imaging, reporting",8-10 hours,Occasionally (2-3 apps at a time),"2 - Light (document editing, web browsing)","Yes, fully meets my needs",Slow boot times,Frequently (multiple times daily),Rarely (1-2 hours/month),Yes (Generator),"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster CPU/Processor;Larger or faster storage (SSD upgrade);More RAM (memory),More than 3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 3:16:22 PM GMT+5:30,Architect/Civil Engineer,Architect,Engineering/Manufacturing,51-200 (Medium-sized business),10+ years,On-site (at campus/office),Gaming Laptop,32 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 7 5800X,8 cores,3.2 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",AMD Radeon RX 7800 XT,12 GB,Windows 11,17 inches,Dual monitors,"STAAD Pro, ETABS, ArchiCAD, Rhino",Very large files (1 GB+),"LKR 250,000 - 300,000","Site planning, engineering simulations, drawings",8-10 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)","Yes, fully meets my needs",System freezes/lag,Never,Occasionally (1-2 hours/week),No (no backup power),Mobile broadband (4G/5G dongle),More RAM (memory);Better GPU (graphics card),More than 3 years ago,Gaming Laptop,Preferred portable but not critical,
2026/02/20 3:23:22 PM GMT+5:30,Mobile App Developer,React Native Developer,Information Technology (IT),201-500 (Large organization),4-6 years,On-site (at campus/office),Standard Laptop,16 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 9 5950X,10 cores,4.0 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11,14 inches,Single monitor/screen only,"React Native, Expo, Simulator, Git, Postman",Medium (10 MB - 100 MB),"Above LKR 300,000","Cross-platform app development, API integration",6-8 hours,Frequently (6-10 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),Overheating,Rarely (once a week or less),Rarely (1-2 hours/month),Yes (Generator),"Fiber broadband (SLT, Dialog Fiber, etc.)",Better GPU (graphics card);More RAM (memory),2-3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 3:30:22 PM GMT+5:30,Game Developer,Unity Developer,Creative Arts/Media,501-1000 (Large organization),4-6 years,Remote/Work from home,Desktop PC (Custom built),32 GB,Intel,"High-end (i7, Ryzen 7, M2/M3)",Intel Core i7-1355U,8 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",AMD Radeon RX 6700 XT,8 GB,Windows 11,27 inches (external monitor),Single monitor/screen only,"Unity, Unreal Engine, Blender, VS Code, Git",Large files (100 MB - 1 GB),"LKR 250,000 - 300,000","Shader programming, physics simulation, optimization",6-8 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)","Yes, fully meets my needs",No performance issues,Never,Never,Yes (Generator),ADSL broadband,Larger battery (for laptops);More RAM (memory);Faster CPU/Processor,2-3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 3:37:22 PM GMT+5:30,QA/Test Engineer,QA Engineer,Information Technology (IT),51-200 (Medium-sized business),4-6 years,On-site (at campus/office),Standard Laptop,16 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i3-1215U,2 cores,1.1 GHz,SATA SSD (Slower SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11,13 inches,Triple monitors,"Selenium, JIRA, TestRail, Postman, Chrome, Excel",Small (Under 10 MB),"LKR 200,000 - 250,000","Performance testing, regression testing, test case design",6-8 hours,Moderately (3-5 applications at a time),"2 - Light (document editing, web browsing)",No (insufficient for my needs),Overheating,Never,Never,Not needed,Fiber broadband (University network),Faster storage (SSD upgrade);Better GPU (graphics card),More than 3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 3:44:22 PM GMT+5:30,Software Developer/Engineer,Frontend Developer,Information Technology (IT),11-50 (Small to medium),10+ years,On-site (at campus/office),Gaming Laptop,32 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600G,8 cores,3.0 GHz,SATA SSD (Slower SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,17 inches,Single monitor/screen only,"VS Code, Node.js, React, Git, Chrome",Medium (10 MB - 100 MB),"LKR 250,000 - 300,000","Backend development, database management",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Battery drain (for laptops),Occasionally (2-3 times per week),Never,Yes (Generator),Mobile broadband (4G/5G dongle),Faster storage (SSD upgrade);Better GPU (graphics card),More than 3 years ago,Gaming Laptop,Preferred portable but not critical,
2026/02/20 3:51:22 PM GMT+5:30,DevOps Engineer,Site Reliability Engineer,Information Technology (IT),501-1000 (Large organization),7-10 years,Hybrid,Desktop PC (Custom built),64 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 9 5950X,8 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3060 Ti,8 GB,Windows 11,32 inches (external monitor),Dual monitors,"Docker, Kubernetes, Jenkins, Terraform, VS Code",Medium (10 MB - 100 MB),"Above LKR 300,000","CI/CD pipeline management, containerization, cloud infrastructure",8-10 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)",Partially (some tasks are slow or require workarounds),System freezes/lag,Rarely (once a week or less),Never,Yes (UPS),Fiber broadband (University network),Better GPU (graphics card);Faster storage (SSD upgrade);More RAM (memory),Less than 1 year ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 3:58:22 PM GMT+5:30,Data Scientist/Analyst,AI Researcher,Information Technology (IT),501-1000 (Large organization),2-3 years,Hybrid,Gaming Laptop,128 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 9 5950X,8 cores,4.0 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3070,8 GB,Windows 11,15 inches,Dual monitors,"R Studio, Power BI, Excel, SQL, TensorFlow",Very large files (1 GB+),"LKR 250,000 - 300,000","Data analysis, machine learning model training, visualization",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)",Partially (some tasks are slow or require workarounds),System freezes/lag,Occasionally (2-3 times per week),Occasionally (1-2 hours/week),Yes (Generator),Mobile broadband (4G/5G dongle),Better GPU (graphics card),2-3 years ago,Gaming Laptop,Preferred portable but not critical,
2026/02/20 4:05:22 PM GMT+5:30,Graphic Designer/Video Editor,Motion Graphics Designer,Creative Arts/Media,201-500 (Large organization),2-3 years,On-site (at campus/office),Gaming Laptop,64 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 6600U,6 cores,3.0 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",NVIDIA RTX 4080,12 GB,Windows 11,15 inches,Single monitor/screen only,"Canva Pro, Sketch, Adobe XD, Affinity Designer",Medium (10 MB - 100 MB),"LKR 250,000 - 300,000","Graphic design, UI mockups, branding",4-6 hours,Frequently (6-10 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Slow boot times;Application crashes;Overheating,Rarely (once a week or less),Never,No (no backup power),Mobile broadband (4G/5G dongle),Larger battery (for laptops);More RAM (memory),Less than 1 year ago,Gaming Laptop,Preferred portable but not critical,
2026/02/20 4:12:22 PM GMT+5:30,Video Editor/Content Creator,Video Editor,Creative Arts/Media,1000+ (Enterprise),7-10 years,Hybrid,MacBook or Mac desktop,32 GB,Intel,"High-end (i7, Ryzen 7, M2/M3)",Intel Core i7-12700K,8 cores,3.5 GHz,NVMe SSD (Faster PCIe SSD),4 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",AMD Radeon RX 7800 XT,12 GB,macOS,14 inches,Dual monitors,"Blender, Cinema 4D, Maya, Unreal Engine",Very large files (1 GB+),"Above LKR 300,000","Video editing, color grading, motion graphics",8-10 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)",Partially (some tasks are slow or require workarounds),System freezes/lag,Occasionally (2-3 times per week),Frequently (3-4 hours/week),Yes (Generator),Mobile broadband (4G/5G dongle),Faster CPU/Processor;More RAM (memory);Better GPU (graphics card),Less than 1 year ago,MacBook or Mac desktop,Must be portable (travel frequently for work),
2026/02/20 4:19:22 PM GMT+5:30,University/College Student (CS/IT),MSc Student,Education - University,51-200 (Medium-sized business),7-10 years,Remote/Work from home,Standard Laptop,4 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Celeron G6900,4 cores,3.0 GHz,eMMC storage,256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,13 inches,Triple monitors,"IntelliJ IDEA, Eclipse, Python, Git, Slack",Small (Under 10 MB),"Under LKR 100,000","Data structures coursework, algorithm design, web development",4-6 hours,Occasionally (2-3 apps at a time),"1 - Very light (email, web browsing)",No (insufficient for my needs),Battery drain (for laptops),Frequently (multiple times daily),Never,Yes (Generator),Mobile broadband (4G/5G dongle),Better GPU (graphics card);Larger battery (for laptops),2-3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 4:26:22 PM GMT+5:30,University/College Student (Non-IT),Arts Student,Education - University,501-1000 (Large organization),2-3 years,Remote/Work from home,Standard Laptop,8 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 7600X,10 cores,3.0 GHz,HDD (Hard Disk Drive),64 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11,14 inches,Single monitor/screen only,"Moodle, Google Classroom, YouTube, Email",Small (Under 10 MB),"LKR 100,000 - 150,000","Document editing, spreadsheets, video calls",4-6 hours,Rarely (1-2 apps at a time),"1 - Very light (email, web browsing)",Partially (some tasks are slow or require workarounds),No performance issues,Rarely (once a week or less),Never,Not needed,ADSL broadband,Faster CPU/Processor;More RAM (memory);Better GPU (graphics card),Less than 1 year ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 4:33:22 PM GMT+5:30,Business Analyst/Manager,Product Manager,Finance/Banking,1-10 (Small business/Startup),Less than 1 year,Remote/Work from home,Desktop PC (Standard),16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-11400H,10 cores,2.5 GHz,SATA SSD (Slower SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,22 inches (external monitor),Single monitor/screen only,"Salesforce, HubSpot, Trello, Asana, Google Workspace",Medium (10 MB - 100 MB),"LKR 150,000 - 200,000","Data analysis, presentations, email communication",8-10 hours,Occasionally (2-3 apps at a time),"2 - Light (document editing, web browsing)","Yes, fully meets my needs",Slow boot times;System freezes/lag,Never,Never,Not needed,"Fiber broadband (SLT, Dialog Fiber, etc.)",Larger battery (for laptops);More RAM (memory);Larger or faster storage (SSD upgrade),2-3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 4:40:22 PM GMT+5:30,Accountant/Finance Officer,Financial Analyst,Finance/Banking,1000+ (Enterprise),10+ years,On-site (at campus/office),Desktop PC (Standard),8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-13400,6 cores,3.6 GHz,SATA SSD (Slower SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,22 inches (external monitor),Triple monitors,"QuickBooks, MS Excel, Tally, SAP, MS Office",Small (Under 10 MB),"LKR 100,000 - 150,000","Accounting, payroll, financial reporting, tax filing",8-10 hours,Moderately (3-5 applications at a time),"2 - Light (document editing, web browsing)",No (insufficient for my needs),System freezes/lag,Frequently (multiple times daily),Occasionally (1-2 hours/week),Not needed,ADSL broadband,Larger battery (for laptops),Less than 1 year ago,Desktop PC (Tower/Standard),"No, can be stationary",
